,City,Lat,Lng
0,Cranston,41.7798,-71.4373
1,Key West,24.5557,-81.7826
2,Oklahoma City,35.4676,-97.5164
3,Valley Stream,40.6643,-73.7085
4,Jacksonville,30.3322,-81.6556
5,Lawrenceburg,38.0373,-84.8966
6,Leawood,38.9667,-94.6169
7,Washington,47.5001,-120.5015
8,Lee's Summit,38.9108,-94.3822
9,Yardley,40.2457,-74.846
10,Boise,43.6135,-116.2035
11,Gemeente Westland,51.9967,4.2273
12,Del Rey,36.6591,-119.5937
13,Marietta,33.9526,-84.5499
14,Gunnison,38.7,-107.0673
15,Spicer City,35.5011,-119.6046
16,Sacramento,38.4666,-121.3177
17,Bainbridge Island,47.6262,-122.5212
18,Deer Park,29.7052,-95.1238
19,Yakima,46.4665,-120.6678
20,Oyster Bay,40.8657,-73.5321
21,Montclair,40.8259,-74.209
22,Anchor Point,59.7767,-151.8314
23,Battle Creek,42.3212,-85.1797
24,West Milford,41.1312,-74.3674
25,Richmond,37.5538,-77.4603
26,Dillingham,59.0397,-158.4575
27,Waterboro,43.5356,-70.7151
28,Palmer,42.1584,-72.3287
29,Troy,42.6056,-83.1499
30,Alamogordo,32.8995,-105.9603
31,Los Angeles,34.0522,-118.2437
32,Oldtown,53.5253,-6.3156
33,Boothbay,43.8765,-69.6337
34,Pittsburgh,40.4406,-79.9959
35,Wills Point,32.7093,-96.0083
36,Pacifica,37.6138,-122.4869
37,Orlando,28.5383,-81.3792
38,Charlotte,35.2271,-80.8431
39,Seattle,47.6062,-122.3321
40,Round Hill,53.1668,-112.6352
41,Winston-Salem,36.0999,-80.2442
42,Pawleys Island,33.4293,-79.1216
43,Portland,45.5234,-122.6762
44,Lee,26.567,-81.8831
45,Cookeville,36.1628,-85.5016
46,Summerfield,36.2088,-79.9048
47,Ocala,29.1872,-82.1401
48,Glennville,31.9366,-81.9285
49,La Pine,43.6704,-121.5036
50,Coopersville,43.0639,-85.9348
51,Satellite Beach,28.1761,-80.5901
52,Hillsboro,45.5229,-122.9898
53,New York,40.7143,-74.006
54,Boone,39.0334,-92.3335
55,Corona,33.8753,-117.5664
56,Willow Canyon,32.3887,-110.6987
57,Summerville,33.0185,-80.1757
58,Des Allemands,29.8238,-90.4751
59,Brooksville,28.5553,-82.3879
60,Colorado Springs,38.8339,-104.8214
61,Salt Lake City,40.7608,-111.8911
62,Orangevale,38.6785,-121.2258
63,North Arlington,40.7884,-74.1332
64,Manistique,45.9577,-86.2462
65,Calverton,39.0576,-76.9358
66,Leavenworth,39.2333,-95.0336
67,Tigard,45.4312,-122.7715
68,Cedartown,34.0537,-85.255
69,Raytown,39.0086,-94.4636
70,Fort Leavenworth,39.3452,-94.9217
71,Spokane,47.6166,-117.3677
72,Rock Island,41.45,-90.5168
73,Lakewood,39.7047,-105.0814
74,Golden,39.7555,-105.2211
75,Merrill,45.1805,-89.6835
76,Kitty Hawk,36.0646,-75.7057
77,Olathe,38.8814,-94.8191
78,Laguna,38.421,-121.4238
79,Nashville,36.1659,-86.7844
80,Marathon City,44.931,-89.8395
81,Baxter,46.3433,-94.2867
82,Omaha,41.2586,-95.9378
83,Davenport,41.5236,-90.5776
84,Kennesaw,34.0234,-84.6155
85,Bloomington,44.8408,-93.2983
86,Hamburg,53.55,10.0
87,Tacoma,47.2529,-122.4443
88,Huntsville,34.7304,-86.5861
89,Perkasie,40.3721,-75.2927
90,East Hartford,41.7823,-72.612
91,Lincoln City,44.9582,-124.0179
92,Fresno,36.6666,-119.8343
93,Apple Valley,34.5008,-117.1859
94,Red Rock,-29.9845,153.2262
95,Tonawanda,42.985,-78.878
96,Tempe,33.4148,-111.9093
97,Lenoir,35.2335,-77.6497
98,Sheboygan,43.7333,-87.9334
99,Myrtle Beach,33.6891,-78.8867
100,Hemet,33.7475,-116.972
101,Lake Montezuma,34.6322,-111.7779
102,Prescott,34.54,-112.4685
103,Tonto Basin,33.8317,-111.2946
104,Camp Verde,34.5636,-111.8543
105,Grass Valley,39.2191,-121.0611
